bed,row,col,Unique.ID,Li600,Genotype,Type
C ,6,B ,2549,1,(WL2 x WV) x (CC x WL2),F2
C ,7,B ,2095,2,(SQ3 x WL2) x (WL2),F2
C ,8,A ,2291,3,(WL2 x TM2) x (WL2 x BH),F2
C ,8,B ,2252,4,(WL2 x TM2) x (TM2),F2
C ,9,B ,2634,5,TM2,Parent
C ,10,B ,2302,NA,(WL2 x WV) x (CC x WL2),F2
C ,12,A ,2326,6,(WL2) x (WL2 x TM2),F2
C ,12,B ,1819,7,WL1,Parent
C ,13,B ,2591,8,(DPR x TM2) x (TM2 x WL2),F2
C ,15,A ,2472,NA,(WV x WL2) x (WL2 x CC),F2
C ,15,B ,1981,9,LV1 x WL2,F1
C ,18,B ,1883,NA,WL2,Parent
C ,19,A ,2063,10,(CC x WL2) x (WL2),F2
C ,19,B ,2236,11,(WL2 x TM2) x (CC x TM2),F2
C ,20,A ,2592,NA,(DPR x TM2) x (TM2 x WL2),F2
C ,20,B ,2213,12,(WL2 x BH) x (WL2 x CC),F2
C ,21,A ,2370,13,(WV x WL2) x (WV),F2
C ,21,B ,698,NA,(DPR x WL2) x (YO11 x WL2),F2
C ,22,A ,2638,14,TM2,Parent
C ,23,A ,2489,NA,WL2 x DPR,F1
C ,23,B ,2564,15,(WV x WL2) x (WL2 x BH),F2
C ,24,B ,118,NA,WL2,Parent
C ,25,A ,2505,16,(TM2) x (TM2 x WL2),F2
C ,25,B ,1459,NA,(DPR x WL2) x (WV x WL2),F2
C ,26,A ,2602,NA,(TM2 x WL2) x (TM2),F2
C ,26,B ,2284,17,(WL2 x TM2) x (TM2),F2
C ,27,A ,2323,18,(WL2) x (WL2 x TM2),F2
C ,28,A ,2478,NA,DPR x WL2,F1
C ,28,B ,2557,NA,(WV x TM2) x (WL2 x TM2),F2
C ,29,A ,1780,NA,TM2,Parent
C ,30,B ,341,NA,(WL1 x WL2) x (BH x WL2),F2
C ,31,A ,1228,NA,LV1 x TM2,F1
C ,31,B ,2442,NA,(LV1 x WL2) x (WL2),F2
C ,32,B ,1700,19,SQ3,Parent
C ,33,A ,2523,20,(WL2 x BH) x (WL2 x CC),F2
C ,33,B ,183,NA,WL2,Parent
C ,34,A ,1745,21,TM2,Parent
C ,37,B ,1289,NA,TM2 x WL2,F1
C ,38,A ,2009,22,WL1 x WL2,F1
C ,38,B ,2230,23,(WL2 x CC) x (YO11 x WL2),F2
C ,39,A ,2487,NA,WL2 x CC,F1
C ,39,B ,1866,24,WL2,Parent
C ,40,A ,2069,25,(CC x WL2) x (WL2),F2
C ,41,A ,2493,NA,YO11 x WL2,F1
C ,41,B ,2574,26,(WV x WL2) x (WV),F2
C ,42,A ,1747,27,TM2,Parent
C ,43,A ,73,NA,(LV1 x WL2) x (WL2),F2
C ,43,B ,2522,NA,(WL2 x BH) x (WL2 x CC),F2
C ,44,A ,2558,NA,(WV x TM2) x (WL2 x TM2),F2
C ,44,B ,2169,28,(TM2) x (TM2 x WL2),F2
C ,45,A ,2165,29,(TM2 x WL2) x (WL1 x TM2),F2
C ,45,B ,2328,30,(WL2) x (WL2 x TM2),F2
C ,46,A ,2408,NA,WL1,Parent
C ,46,B ,2392,31,TM2 x WL2,F1
C ,47,A ,2154,32,(TM2 x WL2) x (TM2),F2
C ,50,A ,1620,33,BH,Parent
C ,50,B ,404,NA,BH,Parent
C ,51,A ,2579,34,(WV) x (WV x WL2),F2
C ,51,B ,2361,35,(WV x WL2) x (WL2 x CC),F2
C ,53,B ,2286,36,(WL2 x TM2) x (TM2),F2
C ,54,A ,1795,NA,TM2,Parent
C ,55,B ,2020,37,WL2 x LV1,F1
C ,56,A ,1936,NA,WV,Parent
C ,56,B ,2173,38,(TM2) x (TM2 x WL2),F2
C ,57,A ,2608,NA,(WV x TM2) x (TM2 x WL2),F2
C ,57,B ,2398,39,SQ3,Parent
C ,5,C ,2228,40,(WL2 x CC) x (WL2 x BH),F2
C ,6,C ,2476,41,DPR x WL2,F1
C ,7,C ,2051,42,WL2 x YO11,F1
C ,7,D ,2419,43,SQ3 x WL2,F1
C ,8,C ,1826,44,WL2,Parent
C ,9,C ,2200,NA,(WL2 x BH) x (WL2 x CC),F2
C ,11,D ,2170,45,(TM2) x (TM2 x WL2),F2
C ,12,C ,1621,46,CC,Parent
C ,12,D ,2258,47,(WL2 x TM2) x (TM2),F2
C ,13,D ,2041,48,WL2 x WV,F1
C ,14,D ,1873,NA,WL2,Parent
C ,16,D ,2115,49,(SQ3 x WL2) x (WL2),F2
C ,17,D ,2217,NA,(WL2 x BH) x (WL2 x TM2),F2
C ,18,C ,2402,NA,WL1,Parent
C ,19,C ,1861,NA,WL2,Parent
C ,20,C ,2360,NA,(WV x WL2) x (WL2 x CC),F2
C ,20,D ,2254,50,(WL2 x TM2) x (TM2),F2
C ,21,C ,2303,51,(WL2 x WV) x (CC x WL2),F2
C ,21,D ,2550,NA,(WL2 x WV) x (CC x WL2),F2
C ,22,C ,2499,52,(SQ3 x WL2) x (WL2),F2
C ,22,D ,2606,53,(WV x TM2) x (TM2 x WL2),F2
C ,23,C ,2405,NA,WL1,Parent
C ,23,D ,737,NA,(DPR) x (WL2 x DPR),F2
C ,24,C ,2070,54,(CC x WL2) x (WL2),F2
C ,25,C ,1820,55,WL1,Parent
C ,25,D ,1828,56,WL2,Parent
C ,28,C ,1932,57,WV,Parent
C ,29,C ,711,NA,(DPR) x (DPR x WL2),F2
C ,30,C ,2620,NA,DPR,Parent
C ,30,D ,2646,58,(WL2 x TM2) x (TM2),F2
