bed,row,col,Unique.ID,Li600,Genotype,Type
C ,56,B ,2173,196,(TM2) x (TM2 x WL2),F2
C ,57,A ,2608,NA,(WV x TM2) x (TM2 x WL2),F2
C ,57,B ,2398,197,SQ3,Parent
C ,5,C ,2228,242,(WL2 x CC) x (WL2 x BH),F2
C ,6,C ,2476,241,DPR x WL2,F1
C ,7,C ,2051,240,WL2 x YO11,F1
C ,7,D ,2419,NA,SQ3 x WL2,F1
C ,8,C ,1826,239,WL2,Parent
C ,9,C ,2200,NA,(WL2 x BH) x (WL2 x CC),F2
C ,11,D ,2170,238,(TM2) x (TM2 x WL2),F2
C ,12,C ,1621,237,CC,Parent
C ,12,D ,2258,236,(WL2 x TM2) x (TM2),F2
C ,13,D ,2041,235,WL2 x WV,F1
C ,14,D ,1873,NA,WL2,Parent
C ,16,D ,2115,234,(SQ3 x WL2) x (WL2),F2
C ,17,D ,2217,NA,(WL2 x BH) x (WL2 x TM2),F2
C ,18,C ,2402,NA,WL1,Parent
C ,19,C ,1861,NA,WL2,Parent
C ,20,C ,2360,NA,(WV x WL2) x (WL2 x CC),F2
C ,20,D ,2254,233,(WL2 x TM2) x (TM2),F2
C ,21,C ,2303,232,(WL2 x WV) x (CC x WL2),F2
C ,21,D ,2550,NA,(WL2 x WV) x (CC x WL2),F2
C ,22,C ,2499,231,(SQ3 x WL2) x (WL2),F2
C ,22,D ,2606,230,(WV x TM2) x (TM2 x WL2),F2
C ,23,C ,2405,229,WL1,Parent
C ,23,D ,737,NA,(DPR) x (WL2 x DPR),F2
C ,24,C ,2070,228,(CC x WL2) x (WL2),F2
C ,25,C ,1820,227,WL1,Parent
C ,25,D ,1828,226,WL2,Parent
C ,28,C ,1932,NA,WV,Parent
C ,29,C ,711,NA,(DPR) x (DPR x WL2),F2
C ,30,C ,2620,NA,DPR,Parent
C ,30,D ,2646,225,(WL2 x TM2) x (TM2),F2
C ,31,C ,2420,NA,SQ3 x WL2,F1
C ,31,D ,2096,224,(SQ3 x WL2) x (WL2),F2
C ,32,C ,2580,NA,(WV) x (WV x WL2),F2
C ,32,D ,2430,222,WL2 x LV1,F1
C ,33,C ,2339,221,(WV x TM2) x (TM2 x WL2),F2
C ,33,D ,2410,NA,BH x WL2,F1
C ,34,C ,2471,220,(WV x WL2) x (WL2 x CC),F2
