"bed","row","col","Unique.ID","Li.600","Genotype","Type"
"C ","18 ","C ","2402",NA,"WL1","Parent"
"C ","19 ","C ","1861",NA,"WL2","Parent"
"C ","20 ","C ","2360","55 ","(WV x WL2) x (WL2 x CC)","F2"
"C ","20 ","D ","2254","56 ","(WL2 x TM2) x (TM2)","F2"
"C ","21 ","C ","2303","57 ","(WL2 x WV) x (CC x WL2)","F2"
"C ","21 ","D ","2550",NA,"(WL2 x WV) x (CC x WL2)","F2"
"C ","22 ","C ","2499","58 ","(SQ3 x WL2) x (WL2)","F2"
"C ","22 ","D ","2606","59 ","(WV x TM2) x (TM2 x WL2)","F2"
"C ","23 ","C ","2405","60 ","WL1","Parent"
"C ","23 ","D ","737",NA,"(DPR) x (WL2 x DPR)","F2"
"C ","24 ","C ","2070","61 ","(CC x WL2) x (WL2)","F2"
"C ","25 ","C ","1820","62 ","WL1","Parent"
"C ","25 ","D ","1828",NA,"WL2","Parent"
"C ","28 ","C ","1932","63 ","WV","Parent"
"C ","29 ","C ","711",NA,"(DPR) x (DPR x WL2)","F2"
"C ","30 ","C ","2620",NA,"DPR","Parent"
"C ","30 ","D ","2646","64 ","(WL2 x TM2) x (TM2)","F2"
"C ","31 ","C ","2420","65 ","SQ3 x WL2","F1"
"C ","31 ","D ","2096","66 ","(SQ3 x WL2) x (WL2)","F2"
"C ","32 ","C ","2580",NA,"(WV) x (WV x WL2)","F2"
"C ","32 ","D ","2430","67 ","WL2 x LV1","F1"
"C ","33 ","C ","2339","68 ","(WV x TM2) x (TM2 x WL2)","F2"
"C ","33 ","D ","2410",NA,"BH x WL2","F1"
"C ","34 ","C ","2471","69 ","(WV x WL2) x (WL2 x CC)","F2"
"C ","34 ","D ","2201","70 ","(WL2 x BH) x (WL2 x CC)","F2"
"C ","35 ","C ","2218","71 ","(WL2 x BH) x (WL2 x TM2)","F2"
"C ","37 ","C ","2260","73 ","(WL2 x TM2) x (TM2)","F2"
"C ","38 ","C ","1982","74 ","LV1 x WL2","F1"
"C ","38 ","D ","539",NA,"TM2","Parent"
"C ","39 ","C ","2220","75 ","(WL2 x BH) x (WL2 x TM2)","F2"
"C ","39 ","D ","1821","76 ","WL1","Parent"
"C ","40 ","C ","1992","77 ","TM2 x WL2","F1"
"C ","40 ","D ","2204","78 ","(WL2 x BH) x (WL2 x CC)","F2"
"C ","41 ","C ","2607","79 ","(WV x TM2) x (TM2 x WL2)","F2"
"C ","41 ","D ","2554","80 ","(WL2 x WV) x (CC x WL2)","F2"
"C ","42 ","D ","2043","81 ","WL2 x WV","F1"
"C ","43 ","C ","1156",NA,"(WL1 x WL2) x (WL2 x TM2)","F2"
"C ","43 ","D ","1048",NA,"(TM2 x BH) x (TM2 x WL2)","F2"
"C ","44 ","C ","1252",NA,"LV1 x WL2","F1"
"C ","44 ","D ","1085",NA,"(TM2 x WL2) x (TM2 x WL2)","F2"
"C ","45 ","D ","394",NA,"BH","Parent"
"C ","46 ","D ","1766","82 ","TM2","Parent"
"C ","47 ","C ","2255",NA,"(WL2 x TM2) x (TM2)","F2"
"C ","48 ","C ","89",NA,"(SQ3 x WL2) x (WL2)","F2"
"C ","48 ","D ","1919",NA,"WL2","Parent"
"C ","49 ","C ","2643",NA,"(WL2 x TM2) x (TM2)","F2"
"C ","49 ","D ","2480",NA,"DPR x WL2","F1"
"C ","50 ","C ","1794","83 ","TM2","Parent"
"C ","50 ","D ","2097","84 ","(SQ3 x WL2) x (WL2)","F2"
"C ","51 ","C ","2397",NA,"SQ3","Parent"
"C ","51 ","D ","1831","85 ","WL2","Parent"
"C ","52 ","C ","2516","86 ","(WL2 x BH) x (WL2 x CC)","F2"
"C ","53 ","C ","2311","87 ","(WL2) x (WL2 x BH)","F2"
"C ","53 ","D ","2640","88 ","TM2","Parent"
"C ","55 ","D ","2519","89 ","(WL2 x BH) x (WL2 x CC)","F2"
"C ","56 ","D ","2559","90 ","(WV x TM2) x (WL2 x TM2)","F2"
"C ","57 ","D ","1835","91","WL2","Parent"
"C ","58 ","C ","2031","92 ","WL2 x TM2","F1"
"C ","58 ","D ","2457","93 ","(WL2) x (WL2 x BH)","F2"
"D ","4 ","A ","1993","94 ","TM2 x WL2","F1"
"D ","5 ","A ","2483",NA,"LV1 x WL2","F1"
"D ","9 ","A ","2155","95 ","(TM2 x WL2) x (TM2)","F2"
"D ","9 ","B ","2320","96 ","(WL2) x (WL2 x TM2)","F2"
"D ","10 ","A ","2278",NA,"(WL2 x TM2) x (TM2)","F2"
"D ","11 ","B ","1822","97 ","WL1","Parent"
"D ","12 ","B ","304",NA,"WL1","Parent"
"D ","13 ","B ","2209","98 ","(WL2 x BH) x (WL2 x CC)","F2"
"D ","14 ","A ","2417","99 ","SQ3 x WL2","F1"
"D ","14 ","B ","2205","100 ","(WL2 x BH) x (WL2 x CC)","F2"
"D ","15 ","B ","1107",NA,"(WL2 x DPR) x (WL2)","F2"
"D ","16 ","A ","1995","101 ","TM2 x WL2","F1"
"D ","16 ","B ","1961","102 ","YO11","Parent"
"D ","17 ","A ","2240","104 ","(WL2 x TM2) x (TM2)","F2"
"D ","18 ","A ","2521","105 ","(WL2 x BH) x (WL2 x CC)","F2"
"D ","18 ","B ","2610",NA,"(WV x TM2) x (TM2 x WL2)","F2"
"D ","20 ","A ","2532","106 ","(WL2 x BH) x (WL2 x CC)","F2"
"D ","22 ","A ","2206",NA,"(WL2 x BH) x (WL2 x CC)","F2"
"D ","22 ","B ","2593","107 ","(DPR x TM2) x (TM2 x WL2)","F2"
"D ","23 ","A ","1894",NA,"WL2","Parent"
"D ","23 ","B ","2413","108 ","BH x WL2","F1"
"D ","24 ","A ","2597","109 ","(TM2 x WL2) x (TM2)","F2"
"D ","24 ","B ","2440","110 ","(CC x WL2) x (WL2)","F2"
"D ","25 ","B ","2222","112 ","(WL2 x BH) x (WL2 x TM2)","F2"
"D ","26 ","A ","2577","113 ","(WV x WL2) x (WV)","F2"
"D ","26 ","B ","1803","114 ","WL1","Parent"
"D ","28 ","A ","1864","115 ","WL2","Parent"
"D ","28 ","B ","2403","116 ","WL1","Parent"
"D ","29 ","A ","2312",NA,"(WL2) x (WL2 x BH)","F2"
"D ","29 ","B ","1942","117 ","WV","Parent"
"D ","30 ","B ","1760",NA,"TM2","Parent"
"D ","31 ","A ","1967","118 ","BH x WL2","F1"
"D ","31 ","B ","2569","119 ","(WV x WL2) x (WL2 x BH)","F2"
"D ","32 ","A ","1968","120 ","BH x WL2","F1"
"D ","32 ","B ","2633","121 ","TM2","Parent"
"D ","33 ","B ","246",NA,"(WL2 x BH) x (WL2 x TM2)","F2"
"D ","34 ","A ","2406",NA,"WL1","Parent"
"D ","34 ","B ","2224",NA,"(WL2 x BH) x (WL2 x TM2)","F2"
"D ","35 ","B ","190",NA,"WL2","Parent"
"D ","36 ","B ","2507","122 ","(TM2) x (TM2 x WL2)","F2"
"D ","38 ","A ","1774","123 ","TM2","Parent"
"D ","38 ","B ","2418",NA,"SQ3 x WL2","F1"
"D ","39 ","A ","2515","124 ","(WL2 x BH) x (WL2 x CC)","F2"
"D ","39 ","B ","1838","125 ","WL2","Parent"
"D ","40 ","A ","2261","126 ","(WL2 x TM2) x (TM2)","F2"
"D ","40 ","B ","2414",NA,"BH x WL2","F1"
"D ","41 ","A ","2455",NA,"(WL2 x TM2) x (WL2 x BH)","F2"
"D ","41 ","B ","1940","127 ","WV","Parent"
"D ","42 ","A ","2324","128 ","(WL2) x (WL2 x TM2)","F2"
"D ","42 ","B ","1985","129 ","LV1 x WL2","F1"
"D ","43 ","B ","1804","130 ","WL1","Parent"
"D ","44 ","A ","2207","131 ","(WL2 x BH) x (WL2 x CC)","F2"
"D ","44 ","B ","2596","132 ","(SQ3 x WL2) x (WL2)","F2"
"D ","45 ","A ","2241","133 ","(WL2 x TM2) x (TM2)","F2"
"D ","45 ","B ","398",NA,"BH","Parent"
"D ","46 ","A ","2583",NA,"(YO11 x WL2) x (WL2)","F2"
"D ","47 ","B ","1403",NA,"WV x WL2","F1"
"D ","48 ","A ","2490","134 ","WL2 x DPR","F1"
"D ","48 ","B ","1702","135 ","SQ3","Parent"
"D ","49 ","A ","2525","136 ","(WL2 x BH) x (WL2 x CC)","F2"
"D ","49 ","B ","1707","137 ","TM2","Parent"
"D ","50 ","B ","2625",NA,"WV","Parent"
"D ","51 ","B ","1988",NA,"LV1 x WL2","F1"
"D ","52 ","A ","522",NA,"TM2","Parent"
"D ","52 ","B ","2463",NA,"(WL2) x (WL2 x TM2)","F2"
"D ","53 ","B ","2212",NA,"(WL2 x BH) x (WL2 x CC)","F2"
"D ","54 ","A ","1876",NA,"WL2","Parent"
"D ","54 ","B ","1849",NA,"WL2","Parent"
"D ","55 ","A ","2573",NA,"(WV x WL2) x (WL2 x CC)","F2"
"D ","55 ","B ","2425",NA,"WL1 x WL2","F1"
"D ","56 ","A ","2544",NA,"(WL2 x CC) x (WL2 x BH)","F2"
"D ","56 ","B ","2492","138 ","YO11 x WL2","F1"
"D ","57 ","B ","1327",NA,"(WV x WL2) x (WL2 x DPR)","F2"
"D ","58 ","B ","2131",NA,"(TM2 x WL2) x (TM2)","F2"
"D ","4 ","C ","1901",NA,"WL2","Parent"
"D ","5 ","C ","2292","139 ","(WL2 x TM2) x (WL2 x BH)","F2"
"D ","5 ","D ","2121","140 ","(SQ3 x WL2) x (WL2)","F2"
"D ","7 ","C ","1751","141 ","TM2","Parent"
"D ","8 ","C ","2538","142 ","(WL2 x BH) x (WL2 x TM2)","F2"
"D ","9 ","C ","2622",NA,"DPR","Parent"
"D ","9 ","D ","1768","143 ","TM2","Parent"
"D ","10 ","C ","2412",NA,"BH x WL2","F1"
"D ","12 ","C ","2257","144 ","(WL2 x TM2) x (TM2)","F2"
"D ","13 ","C ","144",NA,"WL2","Parent"
"D ","13 ","D ","2576","145 ","(WV x WL2) x (WV)","F2"
"D ","15 ","C ","2376","146 ","(WV) x (WV x WL2)","F2"
"D ","15 ","D ","1667",NA,"LV1","Parent"
"D ","16 ","C ","2343","147 ","(WV x WL2) x (WL2 x BH)","F2"
"D ","16 ","D ","2539",NA,"(WL2 x BH) x (WL2 x TM2)","F2"
"D ","17 ","D ","1791",NA,"TM2","Parent"
"D ","18 ","C ","2510","148 ","(WL2 x BH) x (WL2 x CC)","F2"
"D ","18 ","D ","2054",NA,"YO11 x WL2","F1"
"D ","19 ","C ","1767","149 ","TM2","Parent"
"D ","19 ","D ","1644","150 ","DPR","Parent"
"D ","20 ","D ","2399",NA,"SQ3","Parent"
"D ","21 ","D ","1977","151 ","DPR x WL2","F1"
"D ","22 ","C ","53",NA,"YO11","Parent"
"D ","23 ","D ","815",NA,"(SQ3 x WL2) x (DPR x WL2)","F2"
"D ","24 ","D ","2461",NA,"(WL2) x (WL2 x TM2)","F2"
"D ","25 ","C ","2047","152 ","WL2 x YO11","F1"
"D ","26 ","D ","1600","153 ","BH","Parent"
"D ","27 ","C ","1837","154 ","WL2","Parent"
"D ","27 ","D ","2283",NA,"(WL2 x TM2) x (TM2)","F2"
"D ","28 ","D ","2129",NA,"(TM2 x WL2) x (TM2)","F2"
"D ","29 ","C ","1971","155 ","BH x WL2","F1"
"D ","29 ","D ","2617",NA,"CC","Parent"
"D ","30 ","D ","2451","156 ","(WL2 x TM2) x (CC x TM2)","F2"
"D ","31 ","C ","2540","157 ","(WL2 x BH) x (WL2 x TM2)","F2"
"D ","32 ","D ","2526",NA,"(WL2 x BH) x (WL2 x CC)","F2"
"D ","33 ","C ","2422","158 ","WL1 x WL2","F1"
"D ","34 ","C ","1648",NA,"DPR","Parent"
"D ","34 ","D ","2345","159 ","(WV x WL2) x (WL2 x BH)","F2"
"D ","35 ","D ","2479",NA,"DPR x WL2","F1"
"D ","36 ","D ","2468","160 ","(WV x WL2) x (WL2 x CC)","F2"
"D ","37 ","C ","2050","161 ","WL2 x YO11","F1"
"D ","38 ","D ","2055",NA,"YO11 x WL2","F1"
"D ","39 ","C ","1862",NA,"WL2","Parent"
"D ","39 ","D ","1430",NA,"(CC x TM2) x (WL2 x TM2)","F2"
"D ","40 ","C ","2340",NA,"(WV x TM2) x (WL2 x TM2)","F2"
"D ","40 ","D ","1404",NA,"WV x WL2","F1"
"D ","41 ","C ","1913","162 ","WL2","Parent"
"D ","41 ","D ","2484","163 ","TM2 x WL2","F1"
"D ","42 ","D ","76",NA,"(LV1 x WL2) x (WL2)","F2"
"D ","43 ","C ","363",NA,"(TM2 x WL2) x (WL2)","F2"
"D ","43 ","D ","2046",NA,"WL2 x WV","F1"
"D ","44 ","C ","385",NA,"(TM2 x WL2) x (YO11 x WL2)","F2"
"D ","44 ","D ","2531","164 ","(WL2 x BH) x (WL2 x CC)","F2"
"D ","45 ","D ","2543","165 ","(WL2 x CC) x (WL2 x BH)","F2"
"D ","46 ","C ","2277","166 ","(WL2 x TM2) x (TM2)","F2"
"D ","46 ","D ","1972",NA,"BH x WL2","F1"
"D ","47 ","D ","2065",NA,"(CC x WL2) x (WL2)","F2"
"D ","48 ","C ","1615",NA,"BH","Parent"
"D ","48 ","D ","2369",NA,"(WV x WL2) x (WV)","F2"
"D ","49 ","D ","2387",NA,"(YO11 x WL2) x (WL2)","F2"
"D ","50 ","C ","2103",NA,"(SQ3 x WL2) x (WL2)","F2"
"D ","50 ","D ","2542",NA,"(WL2 x BH) x (WL2 x TM2)","F2"
"D ","51 ","C ","2445","167 ","(SQ3 x WL2) x (WL2)","F2"
"D ","51 ","D ","1839","168 ","WL2","Parent"
"D ","52 ","C ","2242","169 ","(WL2 x TM2) x (TM2)","F2"
"D ","52 ","D ","1806","170 ","WL1","Parent"
"D ","53 ","C ","2429",NA,"WL2 x LV1","F1"
"D ","53 ","D ","2346","171 ","(WV x WL2) x (WL2 x BH)","F2"
"D ","54 ","C ","2567",NA,"(WV x WL2) x (WL2 x BH)","F2"
"D ","55 ","C ","2235",NA,"(WL2 x TM2) x (CC x TM2)","F2"
"D ","55 ","D ","1796",NA,"TM2","Parent"
"D ","56 ","C ","2166",NA,"(TM2 x WL2) x (WL2 x DPR)","F2"
"D ","56 ","D ","2485",NA,"TM2 x WL2","F1"
"D ","57 ","C ","1970","172 ","BH x WL2","F1"
"E ","4 ","A ","2225","173 ","(WL2 x BH) x (WL2 x TM2)","F2"
"E ","4 ","B ","1998","174 ","TM2 x WL2","F1"
"E ","5 ","B ","2641",NA,"TM2","Parent"
"E ","6 ","B ","2061","175 ","(CC x WL2) x (WL2)","F2"
"E ","7 ","A ","2266","176 ","(WL2 x TM2) x (TM2)","F2"
"E ","7 ","B ","2534","177 ","(WL2 x BH) x (WL2 x CC)","F2"
"E ","8 ","A ","2282","178 ","(WL2 x TM2) x (TM2)","F2"
"E ","8 ","B ","2028","179 ","WL2 x TM2","F1"
"E ","9 ","B ","2132","180 ","(TM2 x WL2) x (TM2)","F2"
"E ","10 ","B ","2374","181 ","(WV x WL2) x (WV)","F2"
"E ","11 ","A ","2088","182 ","(LV1 x WL2) x (WL2)","F2"
"E ","14 ","A ","2211","183 ","(WL2 x BH) x (WL2 x CC)","F2"
"E ","14 ","B ","2025",NA,"WL2 x LV1","F1"
"E ","15 ","B ","1896",NA,"WL2","Parent"
"E ","16 ","A ","1857",NA,"WL2","Parent"
"E ","18 ","A ","2000","184 ","TM2 x WL2","F1"
"E ","18 ","B ","372",NA,"(TM2 x WL2) x (WL2)","F2"
"E ","19 ","B ","1975","185 ","DPR x WL2","F1"
"E ","20 ","B ","2367","186 ","(WV x WL2) x (WL2 x CC)","F2"
"E ","21 ","A ","2104",NA,"(SQ3 x WL2) x (WL2)","F2"
"E ","21 ","B ","2437",NA,"(CC x WL2) x (WL2)","F2"
"E ","22 ","A ","2014",NA,"WL2 x DPR","F1"
"E ","25 ","A ","2332",NA,"(WV x TM2) x (TM2 x WL2)","F2"
"E ","25 ","B ","1808","187 ","WL1","Parent"
"E ","26 ","A ","1713",NA,"TM2","Parent"
"E ","27 ","B ","1841","188 ","WL2","Parent"
"E ","28 ","B ","2453","189 ","(WL2 x TM2) x (CC x TM2)","F2"
"E ","29 ","A ","2106","190 ","(SQ3 x WL2) x (WL2)","F2"
"E ","29 ","B ","2375","191 ","(WV) x (WV x WL2)","F2"
"E ","41 ","A ","1601","192 ","BH","Parent"
"E ","42 ","B ","2434","193 ","WL2 x YO11","F1"
"E ","43 ","B ","1686",NA,"SQ3","Parent"
"E ","44 ","B ","2273",NA,"(WL2 x TM2) x (TM2)","F2"
"E ","45 ","A ","2208","194 ","(WL2 x BH) x (WL2 x CC)","F2"
"E ","46 ","B ","2613","195 ","TM2 x WL2","F1"
"E ","47 ","B ","2586","196 ","(DPR x TM2) x (TM2 x WL2)","F2"
"E ","48 ","A ","2164",NA,"(TM2 x WL2) x (WL1 x TM2)","F2"
"E ","48 ","B ","1974","197 ","DPR x WL2","F1"
"E ","49 ","B ","2503","198 ","(TM2) x (TM2 x WL2)","F2"
"E ","51 ","A ","334",NA,"(WL1 x WL2) x (BH x WL2)","F2"
"E ","51 ","B ","1800","199 ","TM2","Parent"
"E ","5 ","D ","2432",NA,"WL2 x YO11","F1"
"E ","7 ","D ","1406",NA,"WV x WL2","F1"
"E ","8 ","C ","2541","200 ","(WL2 x BH) x (WL2 x TM2)","F2"
"E ","8 ","D ","2366","201 ","(WV x WL2) x (WL2 x CC)","F2"
"E ","9 ","D ","2347","202 ","(WV x WL2) x (WL2 x BH)","F2"
"E ","10 ","D ","2630",NA,"TM2","Parent"
"E ","11 ","C ","2268","203 ","(WL2 x TM2) x (TM2)","F2"
"E ","11 ","D ","2552","204 ","(WL2 x WV) x (CC x WL2)","F2"
"E ","12 ","D ","2007","205 ","WL1 x WL2","F1"
"E ","13 ","D ","1490",NA,"(TM2 x WL2) x (DPR x WL2)","F2"
"E ","14 ","C ","2193","206 ","(WL2 x BH) x (WL2 x CC)","F2"
"E ","14 ","D ","2394",NA,"WL2","Parent"
"E ","16 ","C ","2272","207 ","(WL2 x TM2) x (TM2)","F2"
"E ","17 ","D ","2174","208 ","(TM2) x (TM2 x WL2)","F2"
"E ","18 ","C ","2057","209 ","(CC x WL2) x (WL2 x TM2)","F2"
"E ","18 ","D ","2122","210 ","(SQ3 x WL2) x (WL2)","F2"
"E ","19 ","C ","2040","211 ","WL2 x WV","F1"
"E ","21 ","C ","1781","212 ","TM2","Parent"
"E ","21 ","D ","2416","213 ","BH x WL2","F1"
"E ","22 ","C ","2036","214 ","WL2 x WL1","F1"
"E ","22 ","D ","2428",NA,"WL2 x LV1","F1"
"E ","23 ","C ","2409",NA,"WL1","Parent"
"E ","23 ","D ","2325",NA,"(WL2) x (WL2 x TM2)","F2"
"E ","24 ","C ","2585","215 ","(DPR x TM2) x (TM2 x WL2)","F2"
"E ","24 ","D ","2502","216 ","(SQ3 x WL2) x (WL2)","F2"
"E ","25 ","C ","2080","217 ","(DPR x TM2) x (TM2 x WL2)","F2"
"E ","25 ","D ","2067","218 ","(CC x WL2) x (WL2)","F2"
"E ","26 ","C ","1623",NA,"CC","Parent"
"E ","26 ","D ","2091",NA,"(LV1 x WL2) x (YO11 x WL2)","F2"
"E ","27 ","D ","79",NA,"(LV1 x WL2) x (WL2)","F2"
"E ","28 ","C ","2637","219 ","TM2","Parent"
"E ","28 ","D ","1870","221 ","WL2","Parent"
"E ","29 ","C ","2348","222 ","(WV x WL2) x (WL2 x BH)","F2"
"E ","41 ","C ","2477","224 ","DPR x WL2","F1"
"E ","41 ","D ","2259",NA,"(WL2 x TM2) x (TM2)","F2"
"E ","42 ","C ","2473","225 ","BH x WL2","F1"
"E ","42 ","D ","2245","226 ","(WL2 x TM2) x (TM2)","F2"
"E ","43 ","D ","2134","227 ","(TM2 x WL2) x (TM2)","F2"
"E ","44 ","C ","2426","228 ","WL1 x WL2","F1"
"E ","44 ","D ","1763","229 ","TM2","Parent"
"E ","46 ","C ","2297","230 ","(WL2 x WV) x (CC x WL2)","F2"
"E ","46 ","D ","2628",NA,"WV","Parent"
"E ","47 ","C ","2594","231 ","(DPR x TM2) x (TM2 x WL2)","F2"
"E ","47 ","D ","2011","232 ","WL1 x WL2","F1"
"E ","48 ","C ","2081","233 ","(DPR x TM2) x (TM2 x WL2)","F2"
"E ","49 ","C ","380",NA,"(TM2 x WL2) x (YO11 x WL2)","F2"
"E ","49 ","D ","2600","234 ","(TM2 x WL2) x (TM2)","F2"
"E ","50 ","C ","1809","237 ","WL1","Parent"
"E ","50 ","D ","2308",NA,"(WL2) x (TM2 x WL2)","F2"
"E ","51 ","C ","1715",NA,"TM2","Parent"
"F ","4 ","A ","1842","238 ","WL2","Parent"
"F ","4 ","B ","2528","239 ","(WL2 x BH) x (WL2 x CC)","F2"
"F ","6 ","A ","2333","240 ","(WV x TM2) x (TM2 x WL2)","F2"
"F ","7 ","A ","1859",NA,"WL2","Parent"
"F ","8 ","A ","2048","241 ","WL2 x YO11","F1"
"F ","8 ","B ","2015","242 ","WL2 x DPR","F1"
"F ","9 ","A ","2449",NA,"(WL2 x TM2) x (CC x TM2)","F2"
"F ","9 ","B ","1892",NA,"WL2","Parent"
"F ","10 ","B ","1659","243","DPR","Parent"
"F ","11 ","A ","2288",NA,"(WL2 x TM2) x (TM2)","F2"
"F ","11 ","B ","2533","244 ","(WL2 x BH) x (WL2 x CC)","F2"
"F ","12 ","B ","2136","245 ","(TM2 x WL2) x (TM2)","F2"
"F ","13 ","A ","2109","247 ","(SQ3 x WL2) x (WL2)","F2"
"F ","14 ","B ","2433",NA,"WL2 x YO11","F1"
"F ","15 ","A ","2631","238 ","TM2","Parent"
"F ","15 ","B ","2611","249 ","(WV x TM2) x (TM2 x WL2)","F2"
"F ","16 ","A ","1463",NA,"(DPR x WL2) x (WV x WL2)","F2"
"F ","16 ","B ","2196","250 ","(WL2 x BH) x (WL2 x CC)","F2"
"F ","17 ","A ","2289","251 ","(WL2 x TM2) x (TM2)","F2"
"F ","17 ","B ","1912","252 ","WL2","Parent"
"F ","18 ","A ","2035","253 ","WL2 x WL1","F1"
"F ","18 ","B ","2459","254 ","(WL2) x (WL2 x BH)","F2"
"F ","19 ","A ","1989","255 ","SQ3 x WL2","F1"
